City,Cloudiness,Country_code,Date,Humidity,Latitude,Longitude,Max_temp,Wind_speed
Lima,40,PE,1547604000,88,-12.06,-77.04,71.6,6.2
Norman Wells,75,CA,1547604000,69,65.28,-126.83,-9.399999999999949,3.6
Yulara,0,AU,1547604000,13,-25.24,130.99,107.6,5.7
Skjervoy,56,NO,1547606904,100,70.03,20.97,26.582000000000015,4.01
Gazli,0,UZ,1547606910,78,40.13,63.45,28.832000000000015,1.31
Hofn,20,IS,1547606616,100,64.25,-15.21,31.082000000000015,11.81
Hamilton,90,CA,1547604000,86,43.26,-79.87,30.2,7.2
Tasiilaq,20,GL,1547603400,46,65.61,-37.64,8.600000000000001,1.5
Plouzane,90,FR,1547604000,81,48.38,-4.62,48.2,6.2
Rakke,88,EE,1547606911,85,58.99,26.24,23.522000000000038,5.31
Cockburn Town,0,TC,1547606799,100,21.46,-71.14,78.06200000000005,2.86
Busselton,0,AU,1547606914,96,-33.64,115.35,68.88200000000002,4.31
Del Rio,90,US,1547604960,93,29.36,-100.9,48.2,3.1
Whangamata,36,NZ,1547606914,83,-37.21,175.87,71.40200000000007,1.56
Bubaque,0,GW,1547606915,100,11.28,-15.83,77.97200000000004,4.81
Port Lincoln,92,AU,1547606915,76,-34.72,135.86,73.292,7.91
Adrar,0,DZ,1547606915,70,27.87,-0.29,33.78200000000002,1.31
San Quintin,0,PH,1547606679,61,17.54,120.52,79.77200000000003,1.46
Tiksi,0,RU,1547606915,0,71.64,128.87,-47.847999999999985,1.31
Ahipara,48,NZ,1547606644,74,-35.17,173.16,71.13200000000002,7.86
Juneau,90,US,1547605860,100,58.3,-134.42,39.92000000000006,1.61
Dikson,68,RU,1547606916,92,73.51,80.55,8.852000000000078,3.56
Goundi,0,TD,1547606916,35,9.36,17.37,59.702000000000076,3.71
Saint George,20,GR,1547603400,57,39.45,22.34,32.0,3.1
Vaini,0,IN,1547604000,55,15.34,74.49,62.6,1.0
Fuzhou,90,CN,1547604000,71,26.08,119.3,50.0,11.0
Lang Suan,0,TH,1547604000,83,9.95,99.07,80.6,0.51
Rapar,0,IN,1547606917,76,23.57,70.65,51.602000000000075,1.86
Nishihara,40,JP,1547605800,43,35.74,139.53,50.0,6.7
Talnakh,68,RU,1547606918,80,69.49,88.39,5.702000000000076,1.51
Konya,75,TR,1547603400,80,37.87,32.48,30.2,9.8
North Bend,90,US,1547603760,70,43.41,-124.22,48.92000000000006,2.6
Upernavik,0,GL,1547606919,100,72.79,-56.15,-6.447999999999972,4.31
Sayan,0,YE,1547606919,88,15.88,43.46,56.372000000000035,0.41
Karlskrona,32,SE,1547605200,100,56.16,15.59,33.8,0.5
Tolaga Bay,64,NZ,1547606919,95,-38.37,178.3,64.11200000000005,2.71
Saravan,75,AM,1547605800,64,39.72,45.65,37.4,5.1
Pevek,76,RU,1547606920,95,69.7,170.27,-7.887999999999941,8.46
Igarka,88,RU,1547606920,82,67.47,86.57,7.682000000000016,6.66
Christchurch,0,NZ,1547605800,59,-43.53,172.64,66.2,9.3
Takoradi,8,GH,1547606920,100,4.89,-1.75,81.30200000000008,3.46
Mahibadhoo,36,MV,1547606921,99,3.78,72.97,82.11200000000005,6.16
Dhidhdhoo,20,MV,1547606921,100,6.88,73.1,81.93200000000002,4.01
Mpongwe,92,ZM,1547606921,97,-13.51,28.16,63.662000000000056,1.76
Shitkino,56,RU,1547606921,68,56.37,98.35,-10.137999999999941,1.06
Riyadh,0,SA,1547604000,55,24.63,46.72,62.6,2.6
Poddorye,88,RU,1547606922,88,57.47,31.12,21.722000000000037,5.11
Mokrous,92,RU,1547606927,95,51.24,47.51,31.262000000000057,7.51
Vila Velha,40,BR,1547604000,83,-3.71,-38.6,78.8,2.1
Barrow,0,AR,1547606928,55,-38.31,-60.23,73.74199999999999,5.81
Touros,75,BR,1547605560,94,-5.2,-35.46,77.0,4.1
Chuy,8,UY,1547606928,96,-33.69,-53.46,71.31200000000005,8.46
Imbituba,75,BR,1547604000,88,-28.24,-48.67,77.0,2.6
Vangaindrano,100,MG,1547606928,100,-23.35,47.6,73.47200000000004,1.41
Castro,40,CL,1547604000,93,-42.48,-73.76,48.2,2.11
Lagunas,68,PE,1547606929,94,-5.23,-75.68,73.65200000000007,1.66
Angra dos Reis,0,BR,1547604000,78,-23.01,-44.32,78.8,3.1
Waiouru,92,NZ,1547606929,100,-39.48,175.67,58.71200000000006,3.36
Matara,68,PE,1547606930,92,-13.74,-72.9,45.30200000000008,0.76
Arraial do Cabo,8,BR,1547606756,84,-22.97,-42.02,77.792,8.01
Jamestown,64,AU,1547606930,35,-33.21,138.6,98.31200000000005,3.91
Namatanai,12,PG,1547606930,90,-3.66,152.44,87.15200000000007,3.86
Xai-Xai,92,MZ,1547606644,100,-25.04,33.64,74.642,1.41
Whitehorse,90,CA,1547604000,92,60.72,-135.06,12.2,1.0
Monforte de Lemos,12,ES,1547606931,85,42.52,-7.51,28.472000000000037,0.96
Nanortalik,92,GL,1547606931,95,60.14,-45.24,29.82200000000004,6.61
Guerrero Negro,76,MX,1547606932,95,27.97,-114.04,62.582000000000015,3.01
Svodin,40,SK,1547603100,69,47.91,18.5,39.2,7.7
Gat,0,SN,1547604000,82,14.69,-16.54,66.2,6.2
Taoudenni,0,ML,1547606932,57,22.68,-3.98,36.391999999999996,2.21
College,1,US,1547603880,80,64.86,-147.8,1.0400000000000205,1.81
Mar del Plata,44,AR,1547606933,40,-46.43,-67.52,63.30200000000008,7.21
Provideniya,90,RU,1547605800,93,64.42,-173.23,32.0,7.0
Ryotsu,75,JP,1547604000,64,38.08,138.43,37.4,10.8
Pringsewu,88,ID,1547606933,82,-5.36,104.98,81.57200000000003,1.31
Jinchang,0,CN,1547606725,58,38.52,102.19,8.582000000000015,1.71
Kodiak,90,US,1547606100,77,39.95,-94.76,32.0,4.1
Fonte Boa,12,BR,1547606934,98,-2.51,-66.09,73.20200000000008,1.16
Purpe,64,RU,1547606932,85,64.48,76.69,7.052000000000078,5.26
San Cristobal,40,EC,1547604000,100,-0.39,-78.55,55.4,1.5
Chernaya Kholunitsa,80,RU,1547606935,91,58.85,51.72,27.302000000000078,5.56
Hithadhoo,36,MV,1547606935,100,-0.6,73.08,80.58200000000002,1.61
Ganzhou,92,CN,1547606935,91,25.86,114.93,40.80200000000008,3.21
Khatanga,56,RU,1547606935,74,71.98,102.47,-11.487999999999943,6.01
Sao Filipe,0,CV,1547606935,99,14.9,-24.5,71.58200000000002,6.26
Loandjili,40,CG,1547604000,94,-4.77,11.87,78.8,1.0
Alta Floresta,44,BR,1547606936,97,-9.87,-56.08,73.56200000000005,0.86
Pokosnoye,0,RU,1547606936,39,55.53,101.05,-13.377999999999965,1.11
Banjar,92,ID,1547606936,86,-7.37,108.54,78.78200000000001,1.66
Kenai,1,US,1547603760,68,60.55,-151.26,24.98000000000004,2.1
Ouadda,20,CF,1547606937,75,8.07,22.4,70.41200000000006,2.46
